"_lat","_lon","access","amenity","armrest","backrest","bench","bin","bus","capacity","changeset","check_date","check_date:shelter","colour","condition","construction:amenity","construction:shelter_type","covered","departures_board","description","direction","fixme","gtfs_id","highway","id","leisure","lit","mapillary","material","name","network","network:wikidata","network:wikipedia","note","operator","passenger_information_display","playground","public_transport","ref","ref:MTA","ref:signed","route_ref","seating","seats","shelter","shelter_type","sport","support","surface","survey:date","tactile_paving","timestamp","two_sided","uid","user","version","wheelchair"
"40.7091928","-74.003113",,,,,,,,,143955531,,,,,,,,,,,,,,"node/11345710734","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2023-11-13T04:47:14Z",,11697944,"kguenther24",1,,
"40.7092311","-74.0030667",,,,,,,,,143955531,,,,,,,,,,,,,,"node/11345710735","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2023-11-13T04:47:14Z",,11697944,"kguenther24",1,,
"40.7092699","-74.0030246",,,,,,,,,143955531,,,,,,,,,,,,,,"node/11345710736","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2023-11-13T04:47:14Z",,11697944,"kguenther24",1,,
"40.7093051","-74.0029831",,,,,,,,,143955531,,,,,,,,,,,,,,"node/11345710737","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2023-11-13T04:47:14Z",,11697944,"kguenther24",1,,
"40.7115753","-74.0004987",,,,,,,,,146046775,,,,,,,,,,,,,,"node/11501440318","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-01-08T23:57:33Z",,11697944,"kguenther24",1,,
"40.7115812","-74.0004683",,,,,,,,,146046775,,,,,,,,,,,,,,"node/11501440319","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-01-08T23:57:33Z",,11697944,"kguenther24",1,,
"40.7115833","-74.0004398",,,,,,,,,146046775,,,,,,,,,,,,,,"node/11501440320","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-01-08T23:57:33Z",,11697944,"kguenther24",1,,
"40.7115833","-74.000413",,,,,,,,,146046775,,,,,,,,,,,,,,"node/11501440321","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-01-08T23:57:33Z",,11697944,"kguenther24",1,,
"40.7109304","-73.9932539",,,,,,,,,146266412,,,,,,,,,,,,,,"node/11518199073","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2024-01-15T04:39:14Z",,11697944,"kguenther24",2,,
"40.7101912","-73.9944394",,,,,,,,,146297234,,,,,,,,,,,,,,"node/11519944944","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-01-15T20:36:29Z",,11697944,"kguenther24",1,,
"40.7101955","-73.9944093",,,,,,,,,146297234,,,,,,,,,,,,,,"node/11519944945","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-01-15T20:36:29Z",,11697944,"kguenther24",1,,
"40.7102369","-73.9944",,,,,,,,,146297234,,,,,,,,,,,,,,"node/11519944946","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-01-15T20:36:29Z",,11697944,"kguenther24",1,,
"40.7102282","-73.9944705",,,,,,,,,146297234,,,,,,,,,,,,,,"node/11519944947","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-01-15T20:36:29Z",,11697944,"kguenther24",1,,
"40.7101956","-73.9958987",,,,,,,,,146297234,,,,,,,,,,,,,,"node/11519945061","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-01-15T20:36:29Z",,11697944,"kguenther24",1,,
"40.7102141","-73.9957755",,,,,,,,,146297234,,,,,,,,,,,,,,"node/11519945078","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-01-15T20:36:29Z",,11697944,"kguenther24",1,,
"40.7100646","-73.997845",,,,,,,,,146530413,,,,,,,,,,,,,,"node/11538318624","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2024-01-21T22:31:06Z",,11697944,"kguenther24",1,,
"40.7100655","-73.9980358",,,,,,,,,146530413,,,,,,,,,,,,,,"node/11538318635","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2024-01-21T22:31:06Z",,11697944,"kguenther24",1,,
"40.7101364","-73.9980584",,,,,,,,,146530413,,,,,,,,,,,,,,"node/11538318636","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2024-01-21T22:31:06Z",,11697944,"kguenther24",1,,
"40.7095754","-73.9972429",,,,,,,,,146604581,,,,,,,,,,,,,,"node/11543863097","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-01-23T18:53:28Z",,11697944,"kguenther24",1,,
"40.709538","-73.997107",,,,,,,,,146604581,,,,,,,,,,,,,,"node/11543863098","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-01-23T18:53:28Z",,11697944,"kguenther24",1,,
"40.7095268","-73.9970831",,,,,,,,,146604581,,,,,,,,,,,,,,"node/11543863099","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-01-23T18:53:28Z",,11697944,"kguenther24",1,,
"40.7094538","-73.9970222",,,,,,,,,146604581,,,,,,,,,,,,,,"node/11543863100","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-01-23T18:53:28Z",,11697944,"kguenther24",1,,
"40.7094275","-73.9970166",,,,,,,,,146604581,,,,,,,,,,,,,,"node/11543863101","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-01-23T18:53:28Z",,11697944,"kguenther24",1,,
"40.7243107","-73.9821491",,,,,,,,,111474535,,,,,,,,,,,,,,"node/9109841448","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2021-09-21T05:16:23Z",,5156387,"zhik",1,,
"40.7245924","-73.9826418",,,,,,,,,124501528,,,,,,,,,,,,,,"node/9932813587","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-05T01:32:52Z",,5156387,"zhik",1,,
"40.7229056","-73.9916854",,,,,,,,,124501665,,,,,,,,,,,,,,"node/9932842221","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-05T01:43:48Z",,5156387,"zhik",1,,
"40.723114","-73.9876758",,,,,"yes",,,,124501951,,,,,,,,,,,,,,"node/9932846561","picnic_table","no",,,,,,,,,,,,,,,,,,,,"chess",,,,,"2022-08-05T02:08:03Z",,5156387,"zhik",1,,
"40.7231357","-73.9876585",,,,,"yes",,,,124501951,,,,,,,,,,,,,,"node/9932846562","picnic_table","no",,,,,,,,,,,,,,,,,,,,"chess",,,,,"2022-08-05T02:08:03Z",,5156387,"zhik",1,,
"40.7231245","-73.9876308",,,,,"yes",,,,124501951,,,,,,,,,,,,,,"node/9932846563","picnic_table","no",,,,,,,,,,,,,,,,,,,,"chess",,,,,"2022-08-05T02:08:03Z",,5156387,"zhik",1,,
"40.7231019","-73.9876465",,,,,"yes",,,,124501951,,,,,,,,,,,,,,"node/9932846564","picnic_table","no",,,,,,,,,,,,,,,,,,,,"chess",,,,,"2022-08-05T02:08:03Z",,5156387,"zhik",1,,
"40.7258335","-73.9882475",,,,,"yes",,,,147312123,,,,,,,"no",,,,,,,"node/9936456386","picnic_table","no",,,,,,,,,,,,,,,,,,,,"chess",,,,,"2024-02-10T23:55:29Z",,314930,"John Gilmore",2,,
"40.729597","-73.9828621",,,,,,,,,139462862,,,,,,,,,,,,,,"node/11090672000","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2023-08-05T02:04:56Z",,5156387,"zhik",1,,
"40.7295","-73.9829192",,,,,,,,,139462862,,,,,,,,,,,,,,"node/11090672001","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2023-08-05T02:04:56Z",,5156387,"zhik",1,,
"40.7211317","-73.9918887",,,,,"yes",,,,111357905,,,,,,,,,,,,,,"node/9102300639","picnic_table",,,"metal",,,,,,,,,,,,,,,,,,,,,,,"2021-09-18T00:06:41Z",,5156387,"zhik",1,,
"40.7211096","-73.9918207",,,,,"yes",,,,111357905,,,,,,,,,,,,,,"node/9102300640","picnic_table",,,"metal",,,,,,,,,,,,,,,,,,,,,,,"2021-09-18T00:06:41Z",,5156387,"zhik",1,,
"40.7210751","-73.9917163",,,,,"yes",,,,111357905,,,,,,,,,,,,,,"node/9102300641","picnic_table",,,"metal",,,,,,,,,,,,,,,,,,,,,,,"2021-09-18T00:06:41Z",,5156387,"zhik",1,,
"40.7211687","-73.9920263",,,,,"yes",,,,111357905,,,,,,,,,,,,,,"node/9102300642","picnic_table",,,"metal",,,,,,,,,,,,,,,,,,,,,,,"2021-09-18T00:06:41Z",,5156387,"zhik",1,,
"40.7147343","-73.9886049",,,,,,,,,126066680,,,,,,,,,,,,,,"node/9108990317","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2022-09-11T22:36:07Z",,4082127,"mbeyerle",2,,
"40.7147314","-73.9886375",,,,,,,,,126066680,,,,,,,,,,,,,,"node/9108990318","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2022-09-11T22:36:07Z",,4082127,"mbeyerle",2,,
"40.7147285","-73.98867",,,,,,,,,126066680,,,,,,,,,,,,,,"node/9108990319","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2022-09-11T22:36:07Z",,4082127,"mbeyerle",2,,
"40.7210033","-73.9919533",,,,,"yes",,,,113179400,,,,,,,,,,,,,,"node/9213181345","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2021-10-31T04:38:15Z",,5156387,"zhik",1,,
"40.7166732","-73.9850878",,,,,,,,,114374574,,,,,,,,,,,,,,"node/9294358695","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2021-11-29T19:32:55Z",,4082127,"mbeyerle",1,,
"40.7166403","-73.9849906",,,,,,,,,114374574,,,,,,,,,,,,,,"node/9294358696","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2021-11-29T19:32:55Z",,4082127,"mbeyerle",1,,
"40.7166157","-73.9849076",,,,,,,,,114374574,,,,,,,,,,,,,,"node/9294358697","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2021-11-29T19:32:55Z",,4082127,"mbeyerle",1,,
"40.717896","-73.9845945",,,,,"yes",,,,115720165,,,,,,,,,,,,,,"node/9388695560","picnic_table",,,"concrete",,,,,,,,,,,,,,,,,,"chess",,,,,"2022-01-03T16:54:58Z",,4082127,"mbeyerle",1,,
"40.7178188","-73.9846335",,,,,"yes",,,,115720165,,,,,,,,,,,,,,"node/9388695561","picnic_table",,,"concrete",,,,,,,,,,,,,,,,,,"chess",,,,,"2022-01-03T16:54:58Z",,4082127,"mbeyerle",1,,
"40.7144483","-73.989497",,,,,"yes",,,,119477984,,,,,,,,,,,,,,"node/9652138542","picnic_table",,,"wood",,,,,,,,,,,,,,,,,,,,,,,"2022-04-08T16:38:24Z",,15374730,"UserNg1",2,,
"40.7144365","-73.9894532",,,,,"yes",,,,119477577,,,,,,,,,,,,,,"node/9652138543","picnic_table",,,"wood",,,,,,,,,,,,,,,,,,,,,,,"2022-04-08T16:27:22Z",,15374730,"UserNg1",1,,
"40.7156346","-73.989497",,,,,,,,,126244350,,,,,,,,,,,,,,"node/10028586864","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2022-09-16T02:19:28Z",,4082127,"mbeyerle",1,,
"40.7155956","-73.989476",,,,,,,,,126244350,,,,,,,,,,,,,,"node/10028586865","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2022-09-16T02:19:28Z",,4082127,"mbeyerle",1,,
"40.7155797","-73.9895276",,,,,,,,,126244350,,,,,,,,,,,,,,"node/10028586866","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2022-09-16T02:19:28Z",,4082127,"mbeyerle",1,,
"40.7156187","-73.9895485",,,,,,,,,126244350,,,,,,,,,,,,,,"node/10028586867","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2022-09-16T02:19:28Z",,4082127,"mbeyerle",1,,
"40.7098258","-73.9884105",,,,,,,,,138243255,,,,,,,,,,,,,,"node/7293283829","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2023-07-07T20:16:47Z",,11697944,"kguenther24",2,,
"40.70985","-73.9884082",,,,,,,,,138243255,,,,,,,,,,,,,,"node/7293283836","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2023-07-07T20:16:47Z",,11697944,"kguenther24",2,,
